timestamp,rpm,thrust,severity,health,trend,fault_type,rul
2026-02-27 08:57:54,1200,0.0267,0.1331,100.00,STABLE,Normal,100.00
2026-02-27 08:57:55,1400,0.0411,0.1379,100.00,STABLE,Normal,100.00
2026-02-27 08:57:55,1600,0.0367,0.1258,100.00,STABLE,Normal,100.00
2026-02-27 08:57:56,1800,0.0625,0.1417,100.00,STABLE,Normal,100.00
2026-02-27 08:57:56,2000,0.0838,0.1574,100.00,STABLE,Normal,100.00
2026-02-27 08:57:57,2200,0.1045,0.1673,100.00,STABLE,Normal,100.00
2026-02-27 08:57:57,2400,0.1228,0.1429,100.00,STABLE,Normal,100.00
2026-02-27 08:57:58,2600,0.1192,0.0946,100.00,STABLE,Normal,100.00
2026-02-27 08:57:58,2800,0.1572,0.1220,100.00,STABLE,Normal,100.00
2026-02-27 08:57:59,3000,0.1847,0.1409,100.00,STABLE,Normal,100.00
2026-02-27 08:57:59,3200,0.2021,0.1617,100.00,STABLE,Normal,100.00
2026-02-27 08:58:00,3400,0.2352,0.1174,100.00,STABLE,Normal,100.00
2026-02-27 08:58:01,3600,0.2376,0.1658,100.00,STABLE,Normal,100.00
2026-02-27 08:58:01,3800,0.2820,0.1379,100.00,STABLE,Normal,100.00
2026-02-27 08:58:02,4000,0.2992,0.1640,100.00,STABLE,Normal,100.00
2026-02-27 08:58:02,4200,0.3617,0.1619,100.00,STABLE,Normal,100.00
2026-02-27 08:58:03,4400,0.4040,0.0448,100.00,STABLE,Severe Imbalance,100.00
2026-02-27 08:58:03,4600,0.4478,0.1516,100.00,STABLE,Normal,100.00
2026-02-27 08:58:04,4800,0.4430,0.1259,100.00,STABLE,Normal,100.00
2026-02-27 08:58:04,5000,0.4925,0.1345,100.00,STABLE,Normal,100.00
2026-02-27 08:58:05,5200,0.5093,0.1346,100.00,STABLE,Normal,100.00
2026-02-27 08:58:05,5400,0.5992,0.1377,100.00,STABLE,Normal,100.00
2026-02-27 08:58:06,5600,0.6507,0.1490,100.00,STABLE,Normal,100.00
2026-02-27 08:58:06,5800,0.6892,0.1174,100.00,STABLE,Normal,100.00
2026-02-27 08:58:07,6000,0.7251,0.1118,100.00,STABLE,Normal,100.00
2026-02-27 08:58:08,6200,0.7780,0.1253,100.00,STABLE,Normal,100.00
2026-02-27 08:58:08,6400,0.8592,0.1361,100.00,STABLE,Normal,100.00
2026-02-27 08:58:09,6600,0.8727,0.1019,100.00,STABLE,Normal,100.00
2026-02-27 08:58:09,6800,0.9378,0.0973,100.00,STABLE,Normal,100.00
2026-02-27 08:58:10,7000,0.9877,0.1006,100.00,STABLE,Normal,100.00
2026-02-27 08:58:10,7200,1.0674,0.0955,100.00,STABLE,Normal,100.00
2026-02-27 08:58:11,7400,1.1113,0.0600,100.00,STABLE,Severe Imbalance,100.00
2026-02-27 08:58:11,7600,1.1531,0.0122,100.00,STABLE,Normal,100.00
